a,b
-0.03592032183014237,-1.8799113301027324
-1.299603597181178,1.5784687352416036
0.8891039113506058,-0.6855767779572794
-0.5859944883371662,-0.8798099266193792
0.46299895046604395,0.4648220117612273
-0.7682623027471176,-1.5640915196814529
-1.0951890374732252,1.2093423012812272
-1.4676868021091602,0.987161178882577
1.9449821214215626,-0.7000992628374497
-0.3210404457830498,-0.4233674616038239
-0.41461398387062537,0.18783348898837265
-0.03542982001507529,0.2886506116986588
3.2715290878381365,-0.5597971833118474
-0.2673811698477839,-0.5328140888212587
0.7342549862943423,-1.248216855541433
-0.2975235237846172,0.9732532586205753
-0.21651328559859676,0.43474791696896714
1.865482562721446,-0.5637103939614242
0.7182264580076114,-0.7043987188749337
0.22696285804581273,-1.7233636945171535
-0.908633667063755,-1.2172538961026376
1.3138235829089857,0.4858927308484521
0.19333682866803645,0.4769575319151028
1.5720441524360267,0.1807949492207236
1.060576138086349,-0.8366582201486585
0.7967064445910528,-0.016518532257565027
0.6864437583336073,-0.8656475238914786
1.0999143125192996,-1.7870550613274034
2.0145501716391845,1.3263328394415332
-0.15071109748613637,-0.6630609948271362
0.02298874693699937,1.1991888803686015
0.1578540007046746,-0.39463609346355877
-0.6016989102035357,-1.5646441385689869
-0.48066569079198174,-1.1211620366071189
0.49499915551346907,0.4612896693868076
0.2515351235443313,-0.2290942508180128
2.5525373181836826,0.7047751435779204
0.8555009722076137,-0.1194792529936517
0.5322688784672569,-0.4375676416673171
-0.25811612700068887,-0.6636316585546508
0.058796412549985216,-0.9424010654070755
-0.7080651856546438,0.1717739531744551
-0.1456914250832784,0.3842024961161632
0.5126746215365626,1.0284405663785818
0.2021083651663186,-0.13040794727899208
-1.1196663067791912,-0.0765925846657182
0.8628094602254975,0.8659290131492714
1.7162209878131933,0.5215145339702072
0.3190473407625104,-0.2384811982708328
-0.336019895701784,0.2860873296339776
0.7238549044876762,-1.4692691641630242
0.2550348580215265,0.09550341925622827
0.6092352231612904,-0.2393135547925514
-0.38497609148944756,0.20815774415641863
0.34892515780900535,-0.9684701781525572
-0.6668310495785461,0.9652536964574344
-0.3194235131036794,-1.0496720854984658
-0.16165943961641846,-0.9690565032693815
-0.8086602909518655,-0.8977793282501907
0.9316820856743566,1.4520752301931854
0.6797797833234508,1.0456256834883997
-0.654952776786871,-0.1621614711191918
-0.06155442320155671,-0.1712256409121023
0.8208393016917518,-1.127837473984042
-0.6112281199985249,0.602778410719433
-0.09072309754513,-1.2194176622432231
0.04609405989954521,-0.734040957313918
0.7630414708884525,0.31155168114238635
-0.5192321372524025,-0.7140378721131542
-0.9229771020152077,0.526939037907279
-0.06760011796473872,-0.137802440165659
0.9146330895444169,0.07365417579883043
0.3243850712812006,-1.0720062505319394
-1.02754679464007,-0.35219676591123394
0.023539478357896174,0.021594006336803202
0.5495763074200032,-0.36139875236883046
-0.6229164763989828,-1.4937704926762716
-0.0407581788669676,0.11418495397337779
-0.3361302208800034,0.0004862501684940873
1.1118389317734376,-0.5830791790867749
-0.598626658140224,-0.8462651034727036
1.486898232695402,-1.1255872485189744
-0.18266493323423239,-0.0038539236394871876
-0.6271198745060171,0.23026658931659166
-0.6520741507497965,-2.0637080339904426
